"Trans #"	"Date"	"Cleared"	"Name"	"Memo"	"Account"	"Debit"	"Credit"
			"Stan Barlow"	"wedding gift"	"Income:Uncategorized Income"		25.00
50	07/18/2009	"*"		"Funds Transfer"	"Assets:ISU Checking"		40.00
				"Funds Transfer"	"Assets:My Wallet"	40.00	
51	07/28/2009			"wedding book photo prints"	"Assets:My Wallet"		21.00
				"wedding book photo prints"	"Expenses:Uncategorized Expense"	21.00	
52	07/25/2009	"*"	"Gas Station"		"Assets:ISU Checking"		32.70
			"Gas Station"		"Expenses:Transportation:Gas"	32.70	
53	07/25/2009	"*"	"Idaho Expenses:Taxes:State University"	"school fees"	"Assets:ISU Checking"		332.00
			"Idaho Expenses:Taxes:State University"	"ISU insurance charge"	"Expenses:Medical:Insurance Payment"	332.00	
54	07/25/2009			"Funds Transfer"	"Assets:ISU Savings"		500.00
				"Funds Transfer"	"Assets:ISU Checking"	500.00	
55	08/06/2009			"wedding money"	"Assets:My Wallet"	70.00	
				"wedding money"	"Income:Uncategorized Income"		70.00
56	08/06/2009			"groceries"	"Assets:My Wallet"		54.00
				"groceries"	"Expenses:Consumables:Other"	46.00	
				"food"	"Expenses:Consumables:Food"	8.00	
57	08/06/2009			"car wash"	"Assets:My Wallet"		10.00
				"car wash"	"Expenses:Transportation:Maintenance"	10.00	
58	08/06/2009			"roses"	"Assets:My Wallet"		5.00
				"roses"	"Expenses:Recreation"	5.00	
59	08/06/2009	"*"		"Deposit"	"Assets:ISU Checking"	75.00	
			"miscellaneous"	"wedding gift money"	"Income:Uncategorized Income"		75.00
60	08/02/2009	"*"	"Gas Station"		"Assets:ISU Checking"		27.38
			"Gas Station"		"Expenses:Transportation:Gas"	27.38	
61	08/04/2009	"*"	"Gas Station"		"Assets:ISU Checking"		18.59
			"Gas Station"		"Expenses:Transportation:Gas"	18.59	
62	08/02/2009	"*"	"Gary Carlsen"	"VOID: returned uncashed rent check as wedding gift"	"Assets:ISU Checking"	0.00	
			"Gary Carlsen"	"VOID: returned uncashed rent check as wedding gift"	"Expenses:Housing:Rent"	0.00	
63	08/06/2009			"Funds Transfer"	"Assets:ISU Savings"		600.00
				"Funds Transfer"	"Assets:ISU Checking"	600.00	
64	08/06/2009	"*"	"Gas Station"		"Assets:ISU Checking"		21.31
			"Gas Station"		"Expenses:Transportation:Gas"	21.31	
65	08/06/2009			"Funds Transfer"	"Assets:ISU Savings"		300.00
				"Funds Transfer"	"Assets:ISU Checking"	300.00	
66	07/30/2009			"Deposit"	"Assets:ISU Savings"	20.00	
			"miscellaneous"	"wedding gift money"	"Income:Uncategorized Income"		20.00
67	07/31/2009			"Interest"	"Assets:ISU Savings"	3.78	
				"Interest"	"Income:Interest Received"		3.78
68	08/07/2009	"*"		"Funds Transfer"	"Assets:ISU Checking"		300.00
				"Funds Transfer"	"Assets:My Wallet"	300.00	
69	08/15/2009			"Honeymoon spending"	"Expenses:Recreation"	688.14	
				"Honeymoon Gas"	"Assets:ISU Checking"		26.69
				"Honeymoon Gas"	"Assets:ISU Checking"		22.75
				"Honeymoon Food and misc"	"Assets:My Wallet"		146.00
				"Honeymoon car rental"	"Assets:ISU Checking"		492.70
70	08/17/2009			"Deposit"	"Assets:ISU Savings"	1,610.00	
				"wedding gift money"	"Income:Uncategorized Income"		930.00
				"wedding gift money"	"Income:Uncategorized Income"		570.00
				"Bed bath and beyond gift returns"	"Income:Uncategorized Income"		110.00
71	08/15/2009	"*"	"Gas Station"		"Assets:ISU Checking"		22.85
			"Gas Station"		"Expenses:Transportation:Gas"	22.85	
72	08/16/2009	"*"	"Brett Carlsen"	"Cell phone payment"	"Assets:ISU Checking"		50.00
			"Brett Carlsen"	"Cell phone payment"	"Expenses:Housing:Utilities"	50.00	
73	08/27/2009	"*"	"Gary Carlsen"	"Rent payment"	"Assets:ISU Checking"		425.00
			"Gary Carlsen"	"Rent payment"	"Expenses:Housing:Rent"	425.00	
74	08/17/2009			"Funds Transfer"	"Assets:My Wallet"		160.00
				"Funds Transfer"	"Assets:ISU Savings"	160.00	
75	08/17/2009			"Funds Transfer"	"Assets:ISU Savings"		500.00
				"Funds Transfer"	"Assets:ISU Checking"	500.00	
76	08/19/2009			"Joseph Smith Manual"	"Assets:My Wallet"		3.00
				"Joseph Smith Manual"	"Expenses:Uncategorized Expense"	3.00	
77	08/19/2009			"closing Assets:My Wallet account"	"Assets:My Wallet"		21.00
				"closing Assets:My Wallet account"	"Expenses:Bananas"	21.00	
78	08/19/2009	"*"	"Walmart"	"food"	"Assets:ISU Checking"		15.71
			"Walmart"	"food"	"Expenses:Consumables:Food"	15.71	
79	08/19/2009	"*"	"OfficeMax"	"file folders and filing rack..."	"Assets:ISU Checking"		28.59
			"OfficeMax"	"file folders and filing rack..."	"Expenses:Home:Office Supplies"	28.59	
80	08/19/2009	"*"	"Walmart"		"Assets:ISU Checking"		10.65
			"Walmart"		"Expenses:Consumables:Other"	10.65	
81	08/19/2009	"*"	"WinCo"		"Assets:ISU Checking"		92.82
			"WinCo"		"Expenses:Consumables:Food"	92.82	
82	08/19/2009	"*"	"Deseret Book"		"Assets:ISU Checking"		10.28
			"Deseret Book"	"Articles of Faith: Talmage"	"Expenses:Recreation"	10.28	
83	08/19/2009			"Deposit"	"Assets:ISU Savings"	45.00	
			"Lisa Carlsen"	"Gift Card Exchange"	"Income:Uncategorized Income"		45.00
84	08/19/2009			"Deposit"	"Assets:ISU Savings"	2,371.77	
			"Esther Carlsen"	" Combined Accounts: Savings"	"Income:Uncategorized Income"		2,205.36
			"Esther Carlsen"	"Combined Accounts Checking"	"Income:Uncategorized Income"		166.41
85	08/28/2009			"Funds Transfer"	"Assets:ISU Savings"		500.00
				"Funds Transfer"	"Assets:ISU Checking"	500.00	
86	08/22/2009	"*"	"Gas Station"		"Assets:ISU Checking"		29.61
			"Gas Station"		"Expenses:Transportation:Gas"	29.61	
87	08/27/2009	"*"	"ISU Credit Union"	"Checks for esther"	"Assets:ISU Checking"		26.11
			"ISU Credit Union"	"Checks for Esther"	"Expenses:Uncategorized Expense"	26.11	
88	08/28/2009	"*"	"Gas Station"		"Assets:ISU Checking"		31.14
			"Gas Station"		"Expenses:Transportation:Gas"	31.14	
89	08/24/2009	"*"	"WinCo"		"Assets:ISU Checking"		2.01
			"WinCo"		"Expenses:Consumables:Food"	2.01	
90	08/25/2009	"*"	"Idaho Expenses:Taxes:State University"		"Assets:ISU Checking"		89.31
			"Idaho Expenses:Taxes:State University"		"Expenses:Education:Books and Fees"	89.31	
91	08/26/2009	"*"	"Ebay"		"Assets:ISU Checking"		59.00
			"Ebay"		"Expenses:Education:Books and Fees"	59.00	
92	08/28/2009	"*"	"Farmer's Insurance"		"Assets:ISU Checking"		278.40
			"Farmer's Insurance"		"Expenses:Transportation:Car Insurance"	278.40	
93	08/26/2009	"*"	"Idaho Expenses:Taxes:State University"		"Assets:ISU Checking"		100.97
			"Idaho Expenses:Taxes:State University"		"Expenses:Education:Books and Fees"	100.97	
94	08/26/2009		"Church of Jesus Christ of Latter Day Sain"	"tithing on wedding gift money"	"Liabilities:Accounts Payable"		150.00
			"Church of Jesus Christ of Latter Day Sain"	"tithing on wedding gift money"	"Expenses:Donations:Tithing"	150.00	
95	08/21/2009	"*"	"Bannock County Assessor"	"plates and registration for acura"	"Assets:ISU Checking"		80.50
			"Bannock County Assessor"	"plates and registration for acura"	"Expenses:Transportation:Other"	80.50	
96	08/18/2009	"*"	"Cache County"	"completed marriage license"	"Assets:ISU Checking"		9.00
			"Cache County"	"completed marriage license"	"Expenses:Uncategorized Expense"	9.00	
97	08/23/2009			"Funds Transfer"	"Assets:ISU Savings"		300.00
				"Funds Transfer"	"Assets:ISU Checking"	300.00	
98	09/01/2009			"gift money"	"Assets:ISU Savings"	200.00	
				"gift money"	"Income:Uncategorized Income"		200.00
			"Church of Jesus Christ of Latter Day Sain"	"gift money"	"Liabilities:Accounts Payable"		20.43
				"gift money"	"Expenses:Donations:Tithing"	20.43	
99	09/01/2009			"Robert - Student Loans"	"Liabilities:Loans"		2,750.00
				"Esther Student loans"	"Liabilities:Loans"		2,750.00
				"student loans"	"Assets:ISU Savings"	5,474.00	
				"Robert - Student Loans"	"Expenses:Interest Paid"	26.00	
100	09/01/2009			"Federal Direct Subsidized Loan (2 year CD)"	"Assets:ISU Savings"		5,500.00
				"Federal Direct Subsidized Loan (2 year CD)"	"Assets:Investments:Certificate of Deposit"	5,500.00	
101	09/01/2009	"*"		"textbook refund"	"Assets:ISU Checking"	87.19	
			"Idaho Expenses:Taxes:State University"	"Returned textbook for full refund"	"Expenses:Education:Books and Fees"		87.19
102	08/31/2009			"Interest"	"Assets:ISU Savings"	3.96	
				"Interest"	"Income:Interest Received"		3.96
103	08/27/2009	"*"	"Amazon.com"		"Assets:ISU Checking"		62.50
			"Amazon.com"		"Expenses:Education:Books and Fees"	62.50	
104	09/01/2009			"Funds Transfer"	"Assets:ISU Savings"		500.00
				"Funds Transfer"	"Assets:ISU Checking"	500.00	
105	09/02/2009	"*"	"OfficeMax"	"engineering paper"	"Assets:ISU Checking"		10.38
			"OfficeMax"	"engineering paper"	"Expenses:Education:Other"	10.38	
106	09/05/2009	"*"	"Gas Station"		"Assets:ISU Checking"		28.96
			"Gas Station"		"Expenses:Transportation:Gas"	28.96	
107	09/11/2009			"Funds Transfer"	"Assets:ISU Savings"		300.00
				"Funds Transfer"	"Assets:ISU Checking"	300.00	
108	09/10/2009	"*"	"cindy phippin"	"wedding pics"	"Assets:ISU Checking"		200.00
			"cindy phippin"	"wedding pics"	"Expenses:Uncategorized Expense"	200.00	
109	09/11/2009			"pell grant"	"Assets:ISU Savings"	2,675.00	
				"pell grant"	"Income:Scholarships and Grants"		2,675.00
				"smart grant"	"Assets:ISU Savings"	2,000.00	
				"smart grant"	"Income:Scholarships and Grants"		2,000.00
110	09/08/2009			"money for car from dad"	"Assets:ISU Savings"	750.00	
				"esther renter referral money"	"Assets:ISU Savings"	65.00	
				"money for car from dad"	"Income:Uncategorized Income"		815.00
111	08/17/2009			"Wells Fargo CD"	"Assets:Investments:Certificate of Deposit"	5,295.90	
				"Wells Fargo CD"	"Income:Uncategorized Income"		5,295.90
112	09/15/2009			"Funds Transfer"	"Assets:ISU Savings"		5,000.00
				"Funds Transfer"	"Assets:Investments:Scottrade Balance"	5,000.00	
113	09/16/2009			"mutual fund and stock purchase"	"Assets:Investments:Scottrade Balance"		4,868.44
				"Harbor Capital Appreciation fund: hcaix"	"Assets:Investments:Mutual Funds"	4,500.00	
				"aapl purchase"	"Assets:Investments:Stocks"	361.44	
				"stock trade commission"	"Expenses:Uncategorized Expense"	7.00	
114	09/13/2009	"*"	"Church of Jesus Christ of Latter Day Sain"		"Assets:ISU Checking"		531.00
			"Church of Jesus Christ of Latter Day Sain"		"Liabilities:Accounts Payable"	531.00	
115	09/13/2009	"*"	"Church of Jesus Christ of Latter Day Sain"	"fast offering"	"Assets:ISU Checking"		20.00
			"Church of Jesus Christ of Latter Day Sain"	"fast offering"	"Expenses:Donations:Other"	20.00	
116	09/16/2009	"*"	"Checker Auto Parts"	"air filter"	"Assets:ISU Checking"		21.19
			"Checker Auto Parts"	"air filter"	"Expenses:Transportation:Maintenance"	21.19	
117	09/15/2009	"*"	"Walmart"	"oil and filter"	"Assets:ISU Checking"		31.77
			"Walmart"	"oil and filter"	"Expenses:Transportation:Maintenance"	31.77	
118	09/17/2009	"*"	"Walmart"	"Food"	"Assets:ISU Checking"		1.88
			"Walmart"	"Food"	"Expenses:Consumables:Food"	1.88	
119	09/17/2009			"Deposit"	"Assets:ISU Savings"	5,000.00	
			"Brett Carlsen"	"Grandma Ward mutual fund money"	"Income:Uncategorized Income"		5,000.00
120	09/18/2009	"*"		"textbook sale"	"Assets:ISU Checking"	33.95	
			"Amazon.com"	"resold textbook on amazon"	"Income:Uncategorized Income"		33.95
121	09/18/2009			"scottrade money direct verification deposit"	"Assets:ISU Savings"	0.51	
			"scottrade"	"scottrade money direct verification deposit"	"Income:Uncategorized Income"		0.51
122	09/28/2009	"*"			"Assets:ISU Checking"		21.19
					"Expenses:Bananas"	21.19	
123	09/21/2009			"Deposit"	"Assets:ISU Savings"	220.00	
				"wedding gift money"	"Income:Uncategorized Income"		20.00
				"payed back for wedding pics by esther's mom"	"Expenses:Uncategorized Expense"		200.00
124	09/21/2009			"Funds Transfer"	"Assets:ISU Savings"		800.00
				"Funds Transfer"	"Assets:ISU Checking"	800.00	
125	09/30/2009			"Interest"	"Assets:ISU Savings"	5.41	
				"Interest"	"Income:Interest Received"		5.41
126	09/27/2009	"*"	"Gary Carlsen"	"october rent"	"Assets:ISU Checking"		425.00
			"Gary Carlsen"	"october rent"	"Expenses:Housing:Rent"	425.00	
127	09/30/2009	"*"	"Brett Carlsen"	"Cell phone payment - october"	"Assets:ISU Checking"		40.00
			"Brett Carlsen"	"Cell phone payment - october"	"Expenses:Housing:Utilities"	40.00	
128	09/01/2009	"*"	"Brett Carlsen"	"cell phone payment - september"	"Assets:ISU Checking"		30.00
			"Brett Carlsen"	"cell phone payment - september"	"Expenses:Housing:Utilities"	30.00	
129	09/22/2009	"*"	"Newegg.com"	"mfc-7840 printer"	"Assets:ISU Checking"		252.98
			"Newegg.com"	"mfc-7840 printer"	"Expenses:Home:Office Supplies"	252.98	
130	10/16/2009		"Robert Carlsen"	"Robert: REU Internship"	"Income:Job Income"		220.00
			"Robert Carlsen"	"Robert: REU Internship"	"Assets:ISU Savings"	220.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Federal"	0.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:State"	0.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Medicare"	0.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Social Security"	0.00	
			"Church of Jesus Christ of Latter Day Sain"	"tithing"	"Liabilities:Accounts Payable"		22.00
			"Church of Jesus Christ of Latter Day Sain"	"Robert: REU Internship"	"Expenses:Donations:Tithing"	22.00	
131	10/02/2009		"Robert Carlsen"	"Robert: REU Internship"	"Income:Job Income"		264.00
			"Robert Carlsen"	"Robert: REU Internship"	"Assets:ISU Savings"	263.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Federal"	0.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:State"	1.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Medicare"	0.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Social Security"	0.00	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		26.30
			"Church of Jesus Christ of Latter Day Sain"	"Robert: REU Internship"	"Expenses:Donations:Tithing"	26.30	
132	10/09/2009	"*"	"Farmer's Insurance"		"Assets:ISU Checking"		73.58
			"Farmer's Insurance"	"finish payment for updated plan thru feb 2010"	"Expenses:Transportation:Car Insurance"	73.58	
133	10/03/2009	"*"	"Ridley's Market"	"groceries"	"Assets:ISU Checking"		24.71
			"Ridley's Market"	"groceries"	"Expenses:Consumables:Food"	24.71	
134	10/13/2009	"*"	"Sports Authority"	"new shoes for esther"	"Assets:ISU Checking"		52.99
			"Sports Authority"	"new shoes for esther"	"Expenses:Home:Clothing"	52.99	
135	10/13/2009	"*"	"Ace Hardware"	"insoles for esther"	"Assets:ISU Checking"		37.05
			"Ace Hardware"	"insoles for esther"	"Expenses:Medical:Other"	37.05	
136	10/16/2009			"Funds Transfer"	"Assets:ISU Savings"		300.00
				"Funds Transfer"	"Assets:ISU Checking"	300.00	
137	10/03/2009	"*"	"Delmonte Meats"	"10 lbs ground beef"	"Assets:ISU Checking"		26.49
			"Delmonte Meats"	"10 lbs ground beef"	"Expenses:Consumables:Food"	26.49	
138	10/16/2009	"*"	"Wells Fargo"	"credit card payment"	"Assets:ISU Checking"		100.23
			"Wells Fargo"	"Gas charged to credit card"	"Expenses:Transportation:Gas"	100.23	
139	10/30/2009	"*"	"Brett Carlsen"	"Cell phone payment"	"Assets:ISU Checking"		40.00
			"Brett Carlsen"	"Cell phone payment"	"Expenses:Housing:Utilities"	40.00	
140	10/27/2009	"*"	"Gary Carlsen"	"Rent payment"	"Assets:ISU Checking"		425.00
			"Gary Carlsen"	"Rent payment"	"Expenses:Housing:Rent"	425.00	
141	10/30/2009		"Robert Carlsen"		"Income:Job Income"		220.00
			"Robert Carlsen"		"Assets:ISU Savings"	220.00	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	0.00	
			"Big Brother"		"Expenses:Taxes:Social Security"	0.00	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		22.00
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	22.00	
142	10/29/2009	"*"	"Pocatello Women's Clinic"	"Esther doctor appointment"	"Assets:ISU Checking"		100.00
			"Pocatello Women's Clinic"	"1st preg appointment"	"Expenses:Medical:Other"	100.00	
143	10/26/2009	"*"	"Amazon.com"	"Esther B-day gift"	"Assets:ISU Checking"		12.97
			"Amazon.com"	"esther b-day gift"	"Expenses:Recreation"	12.97	
144	10/16/2009	"*"	"Golden Corral"	"double dinner date"	"Assets:ISU Checking"		22.24
			"Golden Corral"	"double dinner date"	"Expenses:Recreation"	22.24	
145	10/16/2009	"*"	"Robert Carlsen"	"Just in case wallet cash"	"Assets:ISU Checking"		20.00
			"Robert Carlsen"	"just in case wallet cash"	"Expenses:Bananas"	20.00	
146	10/23/2009			"Funds Transfer"	"Assets:ISU Savings"		300.00
				"Funds Transfer"	"Assets:ISU Checking"	300.00	
147	10/30/2009			"Funds Transfer"	"Assets:ISU Savings"		300.00
				"Funds Transfer"	"Assets:ISU Checking"	300.00	
148	10/31/2009			"Interest"	"Assets:ISU Savings"	6.84	
				"Interest"	"Income:Interest Received"		6.84
149	11/14/2009	"*"	"Wells Fargo"	"credit card payment"	"Assets:ISU Checking"		72.58
